Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
70,308,2010,4,190000,1400,4,0,7700
55,314,2014,6,170000,1500,0,0,8100
51,340,2011,11,157000,2000,0,0,8000
70,308,2010,4,188888,1400,4,1,7500
67,217,2007,10,202600,1600,4,0,6500
70,599,2005,6,220123,1896,0,1,5999
70,672,2013,4,112000,1000,3,1,5550
6,55,2015,10,178800,2000,0,0,22500
64,437,2007,11,252000,2500,3,0,7190
31,399,2005,6,220000,1497,0,1,1000
70,456,2005,4,285000,1400,0,1,2900
50,427,2012,5,174000,1468,0,1,5500
51,122,2009,4,188000,1300,0,1,4800
51,661,2006,6,280124,1800,4,1,5000
70,447,2012,10,125000,2000,4,0,8500
55,402,2016,11,197214,1500,0,1,7800
13,130,2012,10,155127,1200,4,1,4400
31,528,2014,3,185000,2200,0,0,17000
35,450,2008,9,215487,2000,0,1,7700
30,174,2018,3,34000,1500,4,0,20400
51,122,1999,11,260000,1600,3,1,2400
23,275,2008,2,210000,1400,0,1,2850
45,243,2014,10,296000,2200,0,0,13500
50,485,2012,3,128000,1500,0,1,10999
16,526,2009,4,149424,1400,3,1,3099
52,44,2018,9,115000,1500,0,0,17690
71,643,2012,3,245000,2400,0,0,17450
70,308,2018,4,68000,2000,4,1,14100
70,599,2001,5,220000,2500,0,1,5500
70,308,2001,4,250000,1600,4,1,999
45,243,2011,10,192000,2500,0,0,14790
67,124,2015,11,166500,1800,2,0,11700
13,227,2012,10,165000,1800,4,0,5500
55,532,2012,6,192000,1500,0,1,7099
23,598,2010,6,171000,1800,0,1,3900
70,599,2013,5,210000,2000,0,0,11800
50,485,2010,3,250000,1500,0,1,8150
61,429,2005,4,280000,1600,4,1,5200
67,128,2004,11,207000,1800,4,1,4999
65,315,2006,9,185000,2000,3,1,6800
61,429,2009,4,122000,1400,4,1,7500
70,588,2019,3,25164,2000,4,0,18300
70,308,2006,4,175000,1400,4,1,4600
67,128,2005,4,160000,2000,0,1,1700
31,528,2018,9,123000,1995,0,0,23899
55,355,2016,1,19000,1500,0,1,7000
36,504,2015,4,165000,1200,0,1,6500
70,599,2009,6,232525,1896,0,1,6999
61,271,2004,11,300000,1200,4,1,3000
30,174,2013,9,178000,2200,0,0,16800
36,434,2012,10,140000,1999,2,0,9800
67,124,2014,4,213000,1798,2,0,9200
71,643,2015,11,110000,2400,0,0,22850
67,124,2015,11,190500,1400,0,1,9200
55,314,2017,5,152000,1500,0,0,13500
67,466,2011,4,108000,1800,2,0,7990
23,280,2016,10,43000,2000,4,0,9000
45,243,2009,10,232000,1800,3,0,8900
70,599,2000,6,298000,2500,0,1,5200
67,124,2009,4,181400,1400,0,0,7300
70,182,2011,1,173251,1600,0,1,6800
70,588,2013,9,135000,1400,4,1,11500
6,43,2005,11,319000,1800,4,1,3800
55,402,2005,4,243500,1500,0,1,3499
6,640,2014,9,148800,1995,4,0,17500
16,381,2014,10,215361,1200,3,1,2699
45,243,2005,10,270000,1800,3,0,6500
45,296,2013,9,215000,2200,0,0,18800
67,500,2007,3,235000,2200,0,1,9000
30,174,2013,9,125000,2199,0,1,16659
55,532,2014,11,17700,1500,0,1,6699
51,587,1996,2,250000,1400,4,0,2700
16,381,2006,10,20000,1400,4,1,1600
5,108,2002,2,2500,2500,0,0,5700
70,309,2005,4,270000,1900,0,1,4500
6,43,2015,10,142000,1998,4,0,18350
40,177,2015,4,146000,1798,2,0,13500
70,446,2016,10,65000,1798,4,0,14500
5,575,2001,2,200200,1800,4,1,2500
50,347,2014,3,102000,1500,0,1,8350
70,446,2013,11,210000,2000,0,1,10400
15,159,2007,4,260000,1400,3,1,3100
55,206,2004,4,228007,1200,4,1,1550
44,54,1993,4,295350,1600,4,1,1050
45,628,1999,6,270356,2300,0,1,4700
70,588,2011,9,158000,1400,4,1,9999
51,616,2000,11,300000,2000,0,1,2900
70,182,2008,6,250000,1900,0,1,4900
70,182,2000,1,213000,1900,0,1,2222
14,566,1996,10,196000,2000,3,1,1500
69,29,1994,4,20000,1300,4,1,800
61,570,2016,4,164300,1986,0,0,16700
50,405,2006,4,89000,1300,4,0,4100
67,500,2008,9,27000,2200,0,1,4800
55,532,2014,4,155200,1200,4,1,7700
56,79,2001,10,300000,2000,0,1,4750
67,129,2005,6,220000,2000,0,1,3500
14,631,1998,6,314005,2497,0,1,2750
23,364,2017,3,120000,1500,4,0,12400
14,631,1998,6,222222,2497,0,1,2750
50,484,2008,3,218000,1500,0,1,6000
39,235,2006,3,287000,2700,0,0,8700
70,308,2015,4,86000,2000,4,0,15499
55,402,2004,11,215000,1500,0,0,3750
55,402,2013,11,170000,1500,0,0,6750
61,570,2007,10,195000,1751,4,0,6800
51,122,2007,4,256731,1300,0,1,3799
71,519,2015,10,199000,2000,0,0,12700
45,541,1994,10,260000,2500,0,0,2700
45,296,2014,3,151000,2200,0,0,18900
55,402,2011,11,19000,1500,0,0,5500
60,216,2008,10,100000,1400,0,1,800
71,521,2006,10,178000,2500,4,0,6100
51,122,2005,11,225000,1600,4,0,3800
67,500,2006,9,130000,2400,4,0,6990
70,308,2006,4,166000,1400,4,0,7500
13,600,2012,9,90000,1380,4,0,8500
31,604,2005,9,311000,2000,0,1,6000
23,275,2012,4,195000,1400,0,1,4300
13,130,2012,4,164000,1300,0,1,4750
69,26,2001,10,170000,1600,4,1,750
70,308,2013,11,220000,1600,0,1,9520
67,217,2003,4,230000,1995,0,1,2700
45,243,2004,10,299000,1800,4,1,6499
16,381,2016,10,367085,1200,3,1,2300
23,598,2016,6,190000,1500,0,1,8600
67,217,2006,11,235342,1364,0,1,5500
45,151,1996,10,262000,2200,3,0,2250
55,314,2014,11,186000,1461,0,1,7000
61,429,2010,11,169000,1390,4,1,6499
16,526,2013,4,170000,900,4,1,4800
61,271,2011,4,133100,1200,4,0,6500
45,243,1993,10,380000,2500,0,0,18500
16,526,2016,4,100000,890,4,1,6200
48,438,2013,9,186000,1998,5,0,11950
67,124,2007,4,285000,1400,0,1,4000
14,439,2001,1,360000,1996,4,1,3300
17,373,1999,4,197000,1300,4,1,1350
45,151,2001,10,291000,2600,4,1,3499
5,94,2005,11,294542,1968,0,0,6999
17,373,1999,4,275500,1349,4,1,999
52,18,2004,4,177000,1120,4,1,2599
51,122,1994,4,213452,1600,3,1,1200
45,243,2010,10,250000,2200,0,0,14500
67,124,2015,11,170000,1800,2,0,8990
48,210,2012,4,178000,1300,4,1,4650
70,593,2014,10,212000,1600,0,1,8250
55,402,2016,11,180000,1500,0,1,9100
16,381,2007,10,284678,1400,3,1,2799
45,628,2000,6,222222,2300,0,1,2299
67,155,2018,3,148000,1800,2,0,15999
62,285,2007,2,186600,995,3,0,3790
61,271,2013,11,200998,1200,0,1,5999
6,640,2009,3,191000,2000,0,0,10500
61,271,2011,11,96183,1200,4,1,5300
51,122,2014,11,172000,1400,4,0,7800
48,438,2016,9,186000,2000,5,0,17999
67,128,2008,11,252000,2200,0,1,4200
18,579,2004,9,197000,1300,3,1,3750
23,280,2003,4,300000,2000,4,0,2500
70,599,2011,1,232700,2000,0,1,10799
44,65,2010,6,246000,2000,0,1,2850
6,640,2015,3,102000,1999,4,0,17500
45,243,2004,11,340500,2200,0,1,3700
15,131,1995,4,250000,998,4,1,650
67,128,2005,10,180000,1800,4,1,5500
5,94,2002,11,210000,1900,0,1,4200
55,402,2012,6,234568,1500,0,1,5700
50,405,2002,10,150000,1000,3,0,2200
70,446,1999,10,111111,1800,4,1,1650
51,219,1996,11,250000,1500,0,1,670
16,381,2010,11,200000,1400,3,1,3750
55,532,2006,6,188000,1500,0,1,3950
67,655,1999,4,335000,1000,4,1,2150
36,195,2010,11,150000,1400,4,1,6000
45,628,2012,5,399000,2143,0,1,6799
51,122,2011,11,153000,1400,4,1,6000
71,611,2013,1,178000,2400,5,0,14499
44,65,2006,11,228314,2000,0,1,5650
61,429,2011,11,155000,1400,4,0,6700
36,434,2016,10,29000,2400,2,0,14300
55,402,2005,11,272000,1500,0,1,3500
70,542,2003,6,328000,1900,0,1,3200
44,460,2000,4,300000,2000,0,1,1390
51,211,2012,11,190000,1300,0,1,6200
51,340,2011,11,229354,2000,0,1,9650
48,438,2014,3,230000,2000,5,0,13400
71,645,2007,3,279705,2400,0,0,13300
45,625,2011,5,350000,2143,0,1,8799
70,446,2008,10,203856,1800,4,1,6300
30,174,2000,4,250000,2000,0,1,2300
67,128,2002,10,363000,1800,4,1,3900
70,343,2012,10,130000,2000,4,0,7299
45,243,2014,10,194000,2500,0,0,19820
30,339,2011,4,162000,1339,2,0,5900
51,122,1996,1,237000,1700,0,1,1600
6,67,2001,11,340000,2500,0,0,2000
61,358,2020,3,20000,1400,4,0,18500
36,553,2005,9,111111,2500,0,0,6450
5,94,2000,11,342000,2500,0,1,3800
16,381,2006,10,152905,1400,4,1,3450
51,122,2005,4,286000,1400,4,1,3400
6,67,2002,10,300000,2000,0,1,2650
70,308,2001,4,331000,1400,4,1,2450
51,122,2003,11,227324,1600,4,1,2800
23,280,2015,11,93000,1500,0,1,8000
45,151,2007,10,222000,1800,4,0,7999
31,663,2011,4,189000,1248,3,1,4500
23,409,2009,10,250000,1998,3,1,5555
55,402,2004,11,329000,1400,0,1,2800
55,352,2017,3,161325,1500,0,0,12800
55,314,2017,11,152325,1500,0,0,12400
55,352,2017,3,143325,1500,0,0,12800
55,355,2015,11,153325,1500,0,1,8200
55,352,2018,3,135668,1500,0,0,13800
55,352,2017,3,137325,1500,0,0,12800
70,446,2014,11,153000,2000,0,0,13500
70,599,2008,11,160000,1900,0,1,3300
6,67,2012,10,160000,2000,0,0,12000
5,94,2013,10,164000,1955,4,0,13500
55,369,2011,11,190600,1500,0,1,6999
31,670,2013,9,92000,2000,0,0,13700
16,242,2018,3,92000,1461,0,1,11399
67,125,2013,10,160000,2500,2,0,15900
48,210,2010,4,155000,1300,4,0,5000
5,94,1997,10,33333,1900,0,1,2300
48,300,1994,10,296435,1800,4,1,1250
36,561,2011,3,90000,2000,4,1,9400
5,94,2001,11,260000,1600,3,1,1500
16,381,2014,10,135000,1500,0,1,5999
70,542,2011,6,133333,1400,4,1,9500
5,94,2006,10,229000,1968,0,0,6400
60,378,2012,4,182000,1200,4,1,6999
60,378,2014,11,164000,1400,3,1,7800
16,242,2012,9,144000,1461,0,1,9300
15,154,2013,10,11000,1200,4,1,4000
55,369,2015,4,250000,1461,0,0,7000
45,628,2011,11,184000,2200,0,1,6800
67,607,2009,3,290000,1400,0,1,6300
6,67,2014,10,180000,2000,0,0,17600
6,67,1996,10,111111,2500,0,1,2700
60,335,2013,11,200000,1200,0,1,4700
45,243,2004,10,370000,2200,0,0,7850
6,67,2002,10,300000,2500,0,0,4000
6,43,1999,10,320000,2000,4,1,3300
30,174,2019,3,20000,2398,4,0,21700
6,55,2016,2,70000,2000,4,0,21000
67,128,2004,11,222500,2000,4,0,5350
61,429,2006,4,195500,1595,4,1,5300
67,128,2009,10,242000,1998,0,1,5300
6,67,2005,10,285000,2500,0,0,9400
6,67,2005,10,285000,2500,0,0,9500
22,239,2007,5,115000,1400,4,1,4100
23,249,2016,9,120000,1500,4,0,9999
31,552,2016,10,184000,2000,3,0,10800
55,402,2015,11,67000,1500,0,0,7700
23,364,2018,9,157000,1500,0,0,14999
69,26,1993,10,111111,1100,4,1,8500
70,308,1999,10,45000,1600,4,1,3100
16,381,2013,10,230121,1200,4,1,2999
61,429,2010,10,180000,1400,4,0,6490
6,67,2000,10,337000,2000,4,1,3499
50,405,1996,4,182112,1000,4,0,1899
67,124,2012,4,185455,1400,0,1,2999
45,243,2010,10,252525,2200,0,0,6000
30,174,2014,9,186545,2400,4,0,12999
16,381,2007,10,144212,1400,3,1,2699
50,109,1996,10,262441,1400,4,1,2199
70,308,2015,4,136212,1200,4,0,8199
6,67,2009,10,299508,2000,0,0,9400
16,381,2014,11,143000,1200,3,1,5499
16,526,2009,4,173695,1400,4,1,1499
6,67,2006,10,273545,2500,0,0,7499
16,381,2007,10,420212,1400,3,1,2499
61,429,2009,10,163212,1600,4,0,5999
6,67,2005,10,227212,2200,4,0,6999
23,258,2013,9,199001,1498,4,0,11699
61,570,2015,10,165212,2000,0,0,15299
6,67,1999,10,334212,2000,4,1,3299
16,381,2010,10,179252,1400,3,1,3199
45,134,2006,4,200000,1700,4,0,5299
16,381,2009,10,219236,1400,4,1,1499
70,308,1994,2,346000,1984,4,1,2000
36,196,2012,11,131000,1400,0,1,6400
30,174,2009,3,245000,2200,0,1,10199
67,124,2013,4,143000,1800,2,0,11999
45,243,2003,10,372045,2700,0,0,3700
45,243,2004,10,312000,2200,0,0,8550
31,123,2005,4,80000,1086,4,0,2850
67,217,2013,10,38242,1600,3,1,4150
16,382,2008,11,300000,1500,0,1,3700
61,271,2010,4,282545,1200,0,1,4199
61,429,2012,11,157000,1400,4,0,7499
42,389,2016,10,34000,1999,2,0,17900
55,402,2004,10,250000,1500,0,1,2750
70,446,1992,10,250000,2000,4,1,1500
5,80,1992,10,256000,2000,4,1,1500
70,446,2002,11,2222,1900,0,1,900
5,80,1992,10,250000,2000,4,1,1500
16,242,2012,3,113100,1461,0,1,7700
16,527,2013,3,139000,1000,4,1,5399
5,94,1997,10,250000,1900,0,0,1400
67,466,2015,11,153000,1800,2,0,11850
55,352,2019,8,35000,1500,0,1,11500
61,271,2006,4,155000,1390,4,0,3300
30,203,1995,4,350452,1400,4,1,1100
61,570,2014,4,187000,1600,0,0,12300
70,446,2008,11,250000,2000,0,1,6200
48,370,1991,4,250400,1468,4,1,799
67,128,2009,10,250000,2200,0,0,9500
6,67,2000,10,285000,2500,4,1,4100
67,186,2018,10,45000,2500,2,0,24500
6,15,2015,6,194000,1500,0,1,10500
23,291,2008,4,220000,1400,0,0,3700
23,276,2006,11,300000,1400,4,1,2600
67,124,2011,4,170485,1400,0,1,7777
13,130,2007,10,100000,1200,4,1,2000
67,466,2008,11,274300,1500,3,0,5500
55,314,2010,6,213000,1500,0,1,5850
69,27,1990,10,50500,1600,4,1,1100
23,280,2015,11,122000,1500,0,1,7000
70,447,2013,10,111111,1900,0,0,13000
55,532,2004,6,258632,1500,0,1,3100
31,114,2004,6,178000,2500,0,1,4200
16,381,2012,10,129850,1200,4,1,2980
51,432,1991,11,260000,2000,4,1,1300
5,96,2001,10,290000,2400,4,0,5200
70,308,2015,11,57000,1800,4,0,9700
16,381,2010,10,200000,1200,3,1,3000
55,206,2010,11,173000,1500,0,1,4999
55,402,2018,11,110000,1500,0,0,11200
70,446,1990,10,234000,1008,3,1,750
61,429,2006,10,123456,1600,4,1,3500
61,429,2016,10,85000,1400,4,0,13900
23,275,2004,4,123456,1400,0,1,1800
55,402,2012,11,175263,1500,0,1,5950
31,604,2016,3,120000,2000,0,0,14000
67,500,2014,3,120000,2200,0,1,13500
70,343,2011,10,174000,1200,4,1,6999
70,446,2011,11,160400,1400,4,0,7950
69,27,1998,2,2580,1600,4,1,500
51,105,2012,4,190000,1000,4,1,3800
16,382,2013,11,140000,900,4,1,4999
70,308,2013,4,219000,1600,0,1,9300
67,128,2012,10,200000,2000,0,1,3000
70,599,2003,6,241854,1900,0,1,5550
70,182,2014,6,225000,1600,0,1,6600
67,217,2005,4,198000,1400,4,1,3950
16,380,2016,11,60000,1500,0,1,8900
50,484,2013,3,186151,1461,0,1,9050
61,570,2014,10,230000,2000,0,0,14799
36,553,2011,9,167139,2200,0,0,11999
16,381,2012,10,189254,1200,4,1,2999
5,94,2010,10,163000,2000,4,1,8999
67,500,2008,9,147000,2000,4,0,12000
31,552,2012,10,150000,1999,2,0,9888
30,203,2009,10,216555,1333,4,0,5500
55,402,2005,11,380000,1500,0,1,2500
55,402,2006,11,275500,1598,3,1,3400
23,275,2012,10,236000,1400,0,1,3899
51,122,1993,10,111111,1400,4,1,1300
64,601,2011,4,84000,1400,0,0,7300
51,616,1991,10,2555,1900,4,1,13000
51,616,2007,10,206505,1598,4,1,4200
23,350,2009,4,130000,1200,4,1,3100
5,479,2015,3,101000,2000,4,0,20000
20,183,2007,3,200000,2000,4,0,4200
6,55,2014,2,150250,2000,4,0,18499
16,242,2019,3,100000,1500,0,1,13100
70,308,2011,11,230000,1600,0,1,4900
6,43,2005,11,319000,1800,4,1,4100
67,128,2016,10,35000,1800,4,0,17300
30,174,2007,3,205000,2200,0,1,9799
67,467,2012,6,203000,1798,2,0,9600
36,195,2010,1,160000,1399,4,1,4950
64,283,2006,3,306000,2000,3,1,5100
31,304,2008,4,67000,1400,4,1,3900
70,308,1997,4,220000,1600,4,1,1400
16,381,2015,10,212877,1200,4,1,3200
70,343,2013,10,185000,1400,2,0,8300
30,342,2011,4,134000,1400,2,0,7550
70,446,2014,11,240000,1600,0,1,10200
23,259,1997,11,22000,1600,3,1,1100
6,43,2011,11,232000,1998,0,0,6600
55,206,1998,2,164000,1600,4,0,2250
61,429,2013,10,97500,1200,4,1,8700
16,527,2012,4,135000,1461,0,1,6590
61,271,2003,11,254000,1200,4,1,2650
64,601,2012,4,154000,1399,0,0,7500
13,114,1998,2,250000,2300,4,0,2500
50,484,2016,3,149000,1461,0,1,13000
51,184,1996,2,210000,2000,3,1,900
60,335,2011,11,140000,1200,0,1,5150
70,308,1996,4,278090,1400,4,1,1250
30,174,2010,9,136000,2200,0,0,14300
71,645,2014,9,130000,2400,0,0,21900
52,49,2003,4,352000,1400,0,1,2790
67,128,2005,11,215000,1800,4,1,6200
23,280,2018,11,180000,1500,0,1,12650
48,193,1996,4,315000,1600,4,1,1500
45,243,1999,10,385000,2200,0,0,4500
50,427,2015,6,143250,1200,4,1,6550
16,381,2007,11,188000,1461,0,1,3600
51,616,1992,10,28000,1600,3,1,900
55,402,2008,4,200000,1500,0,1,3250
31,528,2012,9,120000,2000,4,0,12500
55,352,2017,3,129310,1500,0,0,12800
70,446,2005,11,250000,2000,0,1,4900
16,381,2008,10,165000,1400,3,1,3200
55,352,2017,3,100565,1500,0,0,13100
55,352,2016,3,70140,1500,0,0,13950
16,382,2012,11,109000,1458,0,1,5399
16,381,2016,10,97280,1500,0,1,7000
16,241,2017,6,108315,1500,0,1,8500
23,598,2017,6,129285,1500,0,1,11600
55,402,2019,10,15000,1332,4,1,10800
51,122,2012,4,220121,1300,0,1,5699
60,216,2002,10,266233,1400,4,1,2299
16,381,2012,10,314212,1200,4,1,2799
60,378,2011,4,220212,1200,4,1,4499
40,256,2013,10,79812,2500,2,0,16990
55,402,2005,10,232322,1500,0,1,1299
51,219,2018,4,243000,1300,0,1,6400
67,218,2005,6,245000,2235,0,1,6700
23,409,2017,11,155900,1500,0,1,9950
61,271,2017,4,41640,1000,4,1,7800
31,251,2012,10,96000,1600,4,0,8750
45,628,2002,6,345276,2200,0,1,2900
23,409,2017,4,128640,2000,2,0,13700
55,402,2016,11,160730,1500,0,0,8300
16,241,2017,6,104520,1500,0,1,8500
23,280,2017,11,152990,1500,0,0,9200
23,280,2013,11,147200,1000,4,1,5100
23,280,2012,11,150000,1000,4,1,5100
5,98,1998,10,270000,2500,0,0,5100
70,308,1995,4,180000,1600,4,1,2000
51,122,2009,11,140000,1400,4,1,5500
55,369,2004,10,258320,2000,3,1,2450
5,96,2003,11,305000,2500,0,0,3900
61,570,2017,10,217000,1999,0,0,19700
70,446,2009,11,260000,2000,0,1,4000
55,314,2014,6,148500,1500,0,0,8400
55,402,2012,11,152670,1500,0,1,6700
51,616,2004,10,280654,2200,3,1,4700
51,122,1999,2,390000,1400,4,1,1700
30,203,2006,10,200000,1799,4,0,3700
70,456,2007,4,177000,1200,4,1,1950
45,151,2002,6,330000,2200,0,1,2000
36,553,2017,9,35740,2000,0,0,22500
50,427,2014,6,157250,1500,0,1,5650
71,611,2015,11,273000,2400,5,0,12700
45,172,1998,2,340000,2000,4,0,4500
30,102,1994,10,22222,2000,3,1,1600
6,67,2005,10,300000,2500,0,0,8500
31,302,2001,9,220000,2500,0,1,4000
71,645,2006,3,310000,2400,0,0,6400
48,438,2014,9,185000,1993,5,0,14500
45,243,1998,10,382000,2200,0,1,3700
67,128,2009,11,196102,1800,4,1,9500
6,640,2008,3,188256,2000,0,1,8000
70,456,2017,10,159000,1400,0,1,8299
70,343,2018,10,47000,1395,4,0,14500
55,402,2017,11,170000,1500,0,1,9200
67,155,2017,3,37000,1198,4,0,16400
13,227,2016,10,90000,1400,4,0,7600
22,238,2013,6,163450,1300,0,1,4450
61,570,2017,11,159000,1598,0,0,16500
45,243,1996,10,336334,2200,0,1,3899
16,526,2012,4,100000,1000,4,1,4599
55,352,2017,9,178000,1500,0,0,14000
6,67,2011,10,280000,1995,0,0,15999
52,83,2003,6,276000,2200,0,1,5700
6,43,1995,10,225000,1800,4,1,1850
5,94,2016,11,230000,2000,0,0,17500
70,308,2007,4,165000,1800,4,0,4500
71,645,2006,9,250000,2500,3,0,7000
31,604,2005,9,228000,2000,3,1,5850
69,26,1991,10,160000,1300,4,1,6500
55,402,2012,11,218000,1500,0,1,7500
23,598,2011,6,220000,2200,0,1,6500
61,271,2016,4,170000,1422,0,1,6050
61,570,2017,10,170000,1968,0,0,21500
55,314,2008,6,185000,1500,0,1,4300
3,10,2007,10,159123,1800,4,1,4999
70,599,2002,6,280000,2500,0,1,4800
52,50,2013,4,94500,1583,4,0,6500
51,661,2005,6,199500,1596,4,1,4900
51,122,2014,11,122000,1600,4,0,6299
60,335,2012,10,163210,1200,4,1,4499
55,577,2016,11,163000,1463,0,0,11900
6,0,2005,4,223000,1600,4,1,4499
45,243,1997,10,336800,2200,0,1,4099
61,271,2007,11,225000,1400,4,1,2999
45,151,2002,10,270123,1800,4,1,3999
70,447,2009,2,158000,1800,4,1,9000
51,616,1999,11,123456,1997,0,1,2500
51,122,2007,4,165000,1800,4,0,4500
55,355,2000,6,180000,1900,0,1,1499
67,186,2015,10,93400,2494,2,0,15000
61,570,2013,10,129151,1800,4,1,11299
23,291,2017,10,123000,2000,2,0,13299
23,291,2017,10,71609,1996,2,0,13000
6,67,2003,10,256020,2200,4,0,6999
51,122,2013,11,173500,1400,4,0,7100
16,526,2008,4,157000,1400,3,1,3099
16,382,2019,11,23500,1500,0,1,9700
16,381,2008,10,216000,1500,0,1,2799
67,124,2012,4,173167,1800,2,0,8999
48,99,2011,9,144892,1800,4,0,9499
50,464,2000,10,341287,1800,4,1,2690
70,343,2011,10,140598,2000,4,0,6099
30,203,2008,10,186621,1300,2,0,4699
5,94,2003,10,200000,2500,0,1,1890
15,231,2012,4,210000,1998,0,0,10000
70,446,2010,11,220000,1400,4,1,7500
13,130,2007,10,390000,1400,4,1,2200
70,182,2015,11,165800,1400,3,1,10900
16,242,2017,9,86000,1500,0,1,10899
67,500,2014,9,200000,2000,0,1,6500
60,335,2017,4,70500,1400,0,1,9500
67,124,2013,11,228000,1800,2,0,9800
70,308,2003,4,300000,1400,4,1,3800
55,532,2005,4,286565,1500,0,1,3299
30,269,2007,4,184267,1700,4,1,5899
70,447,2009,10,254808,2000,0,0,9499
23,291,2019,10,6000,2000,5,0,20999
61,570,2013,10,129000,1800,4,1,11499
67,217,2006,4,310000,1400,0,1,5600
23,280,2015,11,148000,1500,0,1,7800
6,67,1997,11,400000,2000,4,1,3200
55,402,2007,6,339903,1461,0,1,3000
5,479,2010,9,196000,2000,4,0,12500
67,466,2009,4,155705,1500,2,0,6500
70,447,2009,4,196000,2000,3,0,9000
45,628,2019,6,100109,2200,0,0,22999
61,570,2009,10,220000,2000,0,1,8800
71,643,2014,9,210000,2000,0,1,13000
51,661,2007,6,270000,1598,3,1,6000
55,314,2013,1,153200,1461,0,1,5999
50,484,2017,3,173000,1500,0,1,14600
48,99,2011,3,144000,1800,4,0,9699
13,130,2011,10,149000,1398,4,1,4500
44,72,2004,10,250000,2000,4,1,3200
31,664,2013,11,187000,1400,0,1,6999
30,339,2010,4,215000,1400,2,0,5312
70,308,2015,4,57000,2000,4,0,23800
67,128,2005,11,315320,2000,0,1,4350
5,221,1991,2,12345,1800,4,1,1950
5,94,2003,11,269000,1900,0,1,5450
70,253,2010,0,212000,1400,4,1,7700
6,67,1993,10,350000,2000,4,1,5500
65,141,1995,10,157000,1600,4,1,2000
48,247,1994,2,212000,1800,4,1,2500
45,293,2017,10,33000,2000,4,0,17777
34,646,2017,10,33000,2000,4,0,19999
48,438,2009,3,230000,2000,4,1,6750
70,446,1992,10,12345,1800,3,1,1500
5,80,1992,10,277000,2300,3,1,2200
31,604,2017,9,76565,1685,0,0,13400
71,643,2012,3,210000,2400,0,0,16950
67,125,2016,10,125000,2500,2,0,23333
69,32,2001,6,175000,1500,4,1,600
10,178,2016,10,18000,2000,4,0,15000
45,628,2001,11,380000,2200,0,1,3799
23,598,2012,6,202000,1800,0,1,5299
70,308,2011,11,111330,1390,4,0,7450
6,67,2004,10,229300,2170,4,0,9500
61,509,2012,11,159000,1200,4,1,6250
50,347,2011,3,181000,1500,0,1,6999
55,532,2013,6,194650,1461,0,1,6350
16,381,2015,10,220341,1200,3,1,3850
55,265,1992,6,18200,1600,0,1,1200
70,593,2007,6,146801,1400,4,0,6000
67,466,2013,9,105000,1800,4,0,8200
30,339,2012,4,164000,1300,2,0,7500
16,242,2011,3,135000,1500,0,1,7700
45,243,2001,10,281120,2200,0,0,6000
51,122,2006,11,244000,1300,0,1,3250
67,466,2012,4,175000,1800,4,0,9100
55,355,1999,6,123456,1900,0,1,500
30,203,2010,10,173000,1300,2,0,5200
6,640,2015,3,139000,1995,0,0,23000
70,308,2000,4,35566,1900,1,0,600
70,343,2019,10,55000,1400,4,0,13999
13,436,2013,3,183212,1800,4,1,7299
16,381,2013,11,105212,900,4,1,5599
16,381,2012,10,300121,1200,4,1,2499
70,308,2007,4,180000,1900,0,1,5399
60,107,2002,11,259475,1900,0,1,4700
70,599,2006,6,325215,1900,0,1,5499
67,655,2006,4,190000,1400,0,0,4850
16,381,2008,11,231127,1400,3,1,2799
39,497,2006,9,200000,2700,0,0,11000
55,314,2011,6,250000,1500,0,0,6500
6,67,2011,10,92000,2000,4,0,15200
31,101,2005,2,329665,1500,0,1,1999
23,291,2017,10,93000,1997,2,0,12100
70,542,2002,6,370000,1900,0,1,1650
23,280,2017,11,248000,1500,0,1,7900
67,466,2009,10,200000,1800,2,0,8000
45,89,2000,4,219000,1700,0,1,2999
13,368,2010,4,155000,1600,3,0,4500
13,187,2007,9,199599,2400,4,0,6999
6,43,2004,10,280000,1800,4,1,4200
48,210,2005,4,245000,1300,4,0,3500
51,122,2009,2,250000,1300,0,1,3800
6,43,2003,11,123456,2000,0,1,1799
6,43,2016,10,177000,1998,5,0,21000
67,124,2015,11,150000,1800,2,0,11599
51,122,2011,11,167000,1300,0,1,6200
55,532,2005,6,149000,1600,4,1,3150
70,308,2015,4,172458,1400,5,0,12699
67,124,2013,11,131000,1400,0,1,8700
70,182,2015,1,164800,1600,0,1,7650
61,271,2006,11,200000,1400,0,1,3850
61,429,2011,10,205000,1400,4,1,5500
30,174,2003,3,250000,2000,4,1,6300
67,500,2007,3,215000,2200,0,1,5200
5,96,2000,10,265000,2500,0,1,4200
55,532,2009,6,203000,1500,0,1,4200
45,628,2003,6,224558,2200,0,1,2800
45,244,1989,2,342000,2298,3,1,2800
70,593,2009,6,165000,2000,3,1,6000
55,532,2005,5,148000,1461,0,1,3150
6,638,2018,3,202595,1500,0,1,19850
6,67,2006,10,321563,2500,0,0,12800
6,67,2016,10,140000,2000,0,0,18900
30,203,2008,4,163000,1799,4,0,4400
70,308,2011,4,193000,1200,4,1,6800
61,429,1999,4,12345,1600,4,1,1900
67,124,2013,4,100000,1400,0,1,8000
6,67,2004,11,390000,2497,0,0,3050
67,128,2010,11,200000,2000,0,1,9000
55,206,2011,2,182500,1200,3,1,3850
67,124,2012,4,219000,2200,0,1,4000
